GOES-16,1/8/2020,2020008,7:50:20,Sharkfin,10,"48,90","5,112,196",FD,http://data.ssec.wisc.edu/abi/imagery/GOES-16/20200108/fd/16panel/medium/16panel_2020008_075020_EAST?_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes16/2020/2020_01_08_008/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G16_s2020008075020*.nc,
GOES-16,1/17/2020,2020017,5:10:19,Sharkfin,10,"43,90","6,672,142",FD,http://data.ssec.wisc.edu/abi/imagery/GOES-16/20200117/fd/16panel/medium/16panel_2020017_051019_EAST?_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes16/2020/2020_01_17_017/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G16_s2020017051019*.nc,
GOES-16,1/17/2020,2020017,5:10:19,Sharkfin,15,"43,90","6,672,142",FD,http://data.ssec.wisc.edu/abi/imagery/GOES-16/20200117/fd/16panel/medium/16panel_2020017_051019_EAST?_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes16/2020/2020_01_17_017/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G16_s2020017051019*.nc,
GOES-16,2/15/2020,2020046,21:20:20,Sharkfin,10,"-48,80","49,212,538",FD,http://data.ssec.wisc.edu/abi/imagery/GOES-16/20200215/fd/16panel/medium/16panel_2020046_212020_EAST?_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes16/2020/2020_02_15_046/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G16_s2020046212020*.nc,
GOES-16,2/15/2020,2020046,21:20:20,Sharkfin,11,"-48,80","49,212,538",FD,http://data.ssec.wisc.edu/abi/imagery/GOES-16/20200215/fd/16panel/medium/16panel_2020046_212020_EAST?_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes16/2020/2020_02_15_046/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G16_s2020046212020*.nc,
GOES-16,2/16/2020,2020047,5:00:20,Sharkfin,10,"-48,105","48,911,728",FD,http://data.ssec.wisc.edu/abi/imagery/GOES-16/20200216/fd/16panel/medium/16panel_2020047_050020_EAST?_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes16/2020/2020_02_16_047/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G16_s2020047050020*.nc,
GOES-16,2/16/2020,2020047,5:00:20,Sharkfin,11,"-48,105","48,911,728",FD,http://data.ssec.wisc.edu/abi/imagery/GOES-16/20200216/fd/16panel/medium/16panel_2020047_050020_EAST?_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes16/2020/2020_02_16_047/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G16_s2020047050020*.nc,
GOES-16,2/16/2020,2020047,5:00:20,Sharkfin,12,"-48,105","48,911,728",FD,http://data.ssec.wisc.edu/abi/imagery/GOES-16/20200216/fd/16panel/medium/16panel_2020047_050020_EAST?_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes16/2020/2020_02_16_047/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G16_s2020047050020*.nc,
GOES-16,2/16/2020,2020047,5:00:20,Sharkfin,15,"-48,105","48,911,728",FD,http://data.ssec.wisc.edu/abi/imagery/GOES-16/20200216/fd/16panel/medium/16panel_2020047_050020_EAST?_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes16/2020/2020_02_16_047/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G16_s2020047050020*.nc,
GOES-16,2/16/2020,2020047,19:30:20,Sharkfin,13,"-50,90","49,752,220",FD,http://data.ssec.wisc.edu/abi/imagery/GOES-16/20200216/fd/16panel/medium/16panel_2020047_193020_EAST?_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes16/2020/2020_02_16_047/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G16_s2020047193020*.nc,
